time="2024-12-06T09:34:30+05:00" level=info msg="Configuration loaded"
time="2024-12-06T09:34:30+05:00" level=info msg="Connected to MongoDB"
time="2024-12-06T09:34:30+05:00" level=info msg="Initializing Kafka producer with address:localhost:9092"
time="2024-12-06T09:34:30+05:00" level=info msg="Kafka client initialized successfully"
time="2024-12-06T09:36:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:21+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:26+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:31+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:36+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:38+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:38+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:41+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:43+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:43+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:46+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:48+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:48+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:51+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:53+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:53+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:56+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:58+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:36:58+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:01+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:03+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:03+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:06+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:08+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:08+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:11+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:13+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:13+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:16+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:18+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:21+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:23+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:26+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:28+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:31+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
time="2024-12-06T09:37:33+05:00" level=info msg="GetProductById: started - 6750898bee36c8da0d7e3abb"
